id,categoria,temps_pujada,temps_baixada
1,BEMB,3100,2607
2,BEBB,3397,1165
3,BEMB,3055,2071
4,MEBB,4327,1505
5,MEBB,4325,1266
6,BEMB,3361,2154
7,MEBB,4211,1409
8,BEMB,3089,2106
9,BEBB,3065,1435
10,MEBB,4161,1697
11,BEMB,2890,2402
12,MEBB,4279,1761
13,BEMB,3312,2012
14,BEMB,2910,2077
15,BEMB,3197,2256
16,MEMB,4535,2239
17,BEMB,3296,2017
18,MEMB,4396,1987
19,BEMB,3353,2020
20,MEMB,4531,2024
21,BEBB,3527,1149
22,BEBB,3239,1054
23,BEMB,3407,1973
24,BEMB,3409,2842
25,BEMB,3044,2343
26,BEBB,3474,1958
27,BEMB,3148,2339
28,BEMB,3232,1952
29,MEBB,3985,1571
30,MEBB,4248,1809
31,BEBB,3490,1132
32,MEBB,4505,1124
33,MEMB,4175,2306
34,BEMB,3493,2352
35,BEMB,3342,2517
36,MEMB,4432,2203
37,BEMB,3280,1769
38,BEMB,3443,2033
39,BEBB,3334,1249
40,MEMB,4204,2108
41,MEMB,4498,2310
42,MEMB,3906,2386
43,MEMB,4319,2040
44,BEBB,3523,1267
45,MEMB,4291,1742
46,BEMB,2615,2325
47,MEMB,4021,2497
48,MEBB,4505,1498
49,MEMB,4204,2516
50,BEBB,3397,1706
51,MEBB,4419,1480
52,MEMB,4401,2227
53,MEBB,4043,1104
54,BEBB,3819,1587
55,BEMB,3084,2223
56,MEBB,4267,1462
57,BEMB,3080,2209
58,MEBB,4170,1462
59,MEMB,4001,2171
60,BEMB,3384,2599
61,BEMB,3301,2333
62,MEBB,4062,1223
63,MEBB,4273,1911
64,BEBB,3185,1461
65,BEBB,2937,1193
66,MEMB,4329,2052
67,MEBB,4255,1626
68,BEBB,3090,1376
69,BEBB,3321,1102
70,BEMB,3494,2056
71,MEMB,4278,2356
72,MEBB,4259,1363
73,MEBB,4352,1396
74,BEMB,2866,2362
75,BEBB,3399,1405
76,BEMB,3288,1869
77,BEMB,3420,2170
78,MEMB,4413,2207
79,MEBB,4078,1353
80,BEMB,3319,2590
81,BEBB,3239,1542
82,MEMB,4376,1731
83,MEBB,4528,1348
84,MEMB,4283,2486
85,MEMB,4124,2491
86,BEBB,3419,1496
87,MEMB,4318,2304
88,BEMB,2476,2084
89,BEMB,3267,1944
90,BEBB,3293,1077
91,MEMB,4494,2016
92,MEBB,4069,1834
93,BEBB,3016,1087
94,MEMB,4130,2457
95,BEMB,3282,2414
96,BEBB,3663,1340
97,MEBB,4365,1563
98,BEMB,3319,2124
99,MEMB,4274,2388
100,MEBB,3972,1726
