id,categoria,temps_pujada,temps_baixada
1,MEBB,4757,1581
2,BEBB,3335,1514
3,MEMB,3904,2172
4,MEMB,4070,2116
5,MEBB,4036,1508
6,BEBB,3431,1124
7,BEMB,3547,1899
8,MEBB,4144,1349
9,MEMB,4324,2361
10,BEMB,3022,2150
11,BEMB,3250,1984
12,MEMB,4023,2206
13,BEMB,2975,2233
14,MEBB,4124,1794
15,MEMB,4791,2277
16,BEMB,3025,2178
17,BEBB,3564,1666
18,MEBB,4388,1218
19,BEMB,4116,2263
20,MEBB,3913,1662
21,MEMB,4170,2064
22,MEMB,4197,2545
23,MEBB,4296,1488
24,MEBB,4422,1464
25,MEMB,4301,2158
26,BEBB,3132,1111
27,BEBB,3407,1721
28,BEMB,3363,2170
29,MEMB,3859,1865
30,BEMB,3483,1991
31,MEBB,4159,1287
32,MEMB,4115,2064
33,MEMB,4473,2075
34,MEMB,4255,2548
35,MEMB,4691,2472
36,BEMB,2878,2646
37,MEBB,3637,1303
38,BEMB,3430,2461
39,BEBB,3531,1683
40,MEBB,4334,1556
41,MEMB,4249,2619
42,BEBB,3161,1417
43,BEBB,3335,1332
44,BEMB,3462,2015
45,BEMB,3102,2201
46,MEMB,4591,2385
47,BEBB,3185,1208
48,MEMB,4185,2148
49,BEBB,3515,1309
50,MEMB,4229,1941
51,MEBB,4670,1299
52,BEMB,3561,2030
53,MEMB,5052,2093
54,BEBB,3224,1049
55,BEMB,3261,2519
56,MEMB,4404,2254
57,MEBB,4145,1570
58,MEBB,4294,1351
59,BEBB,3231,1434
60,BEBB,3060,1201
61,MEBB,4181,1152
62,BEBB,3221,1673
63,BEBB,2849,1564
64,BEMB,3635,2135
65,BEMB,3517,2210
66,MEBB,4146,1704
67,BEMB,3171,2382
68,BEMB,3194,2367
69,MEBB,4243,1702
70,MEMB,4512,1511
71,MEMB,4787,2182
72,BEMB,3552,2101
73,MEBB,4433,1557
74,BEMB,3370,1927
75,BEMB,3631,2343
76,BEBB,3337,1187
77,BEBB,3688,1552
78,BEMB,3028,2219
79,MEBB,4222,1896
80,MEBB,4211,1072
81,MEMB,3812,2120
82,MEBB,4040,1611
83,BEBB,3156,1527
84,BEBB,3266,1301
85,BEMB,3502,2507
86,BEBB,3370,1020
87,MEBB,3934,1227
88,BEMB,3253,1868
89,MEBB,4378,1252
90,BEMB,3221,2099
91,MEBB,3905,1320
92,BEMB,3082,2293
93,BEBB,3057,1601
94,BEBB,3617,1351
95,MEMB,4353,2458
96,MEMB,4644,2182
97,BEMB,3417,2158
98,MEMB,4074,1980
99,MEMB,4171,2115
100,BEBB,3292,1795
